Country Name,Country Code,Series Name,Series Code,1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018],2020 [YR2020],2021 [YR2021]
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,24974.2738587988,22419.6948211313,24292.5802304835,33803.3095951203,40872.3624615688,43068.5487241739,37062.5335723829,41592.795896432,39037.1226309074,43518.5385130851
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.65112686783302,1.6759598872093,1.9234122872706,2.14208964640242,1.95419531613507,0.507758822937957,0.183334861123848,1.85081508315494,0.476498852725083,1.64233141038392
France,FRA,"Population, total",SP.POP.TOTL,60186284,60912500,61805266,62704901,65659814,66312067,66724104,67101930,67379908,67499343
France,FRA,Surface area (sq. km),AG.SRF.TOTL.K2,549086,549087,549087,549087,549087,549087,549087,549087,549086.87,..
France,FRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,351430953969.313,372359017200.001,383474587651.373,539577459091.121,818493895248.047,879982977519.997,762973925940.469,913320694019.607,786301507754.088,940542297600.76
France,FRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,392709584167.223,390504309338.04,413353771803.138,561042237466.411,783713381111.719,847269974207.056,748010809661.091,885114776507.45,733165402569.652,879699770569.753
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2238990774702.68,1947981991011.77,2078484517474.51,2814353869359.08,3527143188785.16,3889093051023.52,3469853463945.53,3977289455388.23,3846413928653.71,4223116205968.92
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.01393278519326,2.91250296366708,-0.197973834771361,1.17508813160987,0.418497594217598,2.20954343134872,2.22999986782015,1.08602451412267,-4.56961671737398,2.89260243321934
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,27289.0593603191,23694.7604830673,25197.2656001848,34106.6581224001,43855.8544658618,48023.8699845462,42136.1207907991,47973.6076235097,46252.6893044892,50801.7867105308
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.911185301235183,1.44026818676794,1.42080560518857,1.66573340932676,2.0084909216701,0.906797948515676,0.49174862477081,1.73216766075662,0.506689889953274,3.14296967309964
Germany,DEU,"Population, total",SP.POP.TOTL,82047195,82211508,82488495,82516260,80425823,80982500,82348669,82905782,83160871,83129285
Germany,DEU,Surface area (sq. km),AG.SRF.TOTL.K2,357030,357030,357040,357050,357170,357380,357580,357580,357590,..
Germany,DEU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,563734578192.731,597608722042.354,589090539832.942,858739159387.261,1418156159958.98,1516778572468.23,1342707789871.99,1635992815794.51,1449776956932.3,1770614284759.66
Germany,DEU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,591248193842.392,600907866067.452,677431710710.589,1005100437665.64,1633318434049.22,1774175599429.01,1598674707103.9,1881299505616.47,1669993508933.86,2004251622872.06
India,IND,GDP (current US$),NY.GDP.MKTP.CD,421351477504.743,468394937262.37,514937948870.08,709148514804.659,1827637859135.7,2039127446298.55,2294797980509.01,2702929718960.46,2667687951796.56,3173397590816.91
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.18441582090618,3.84099115681285,3.8039753213758,7.92293661286503,5.45638875297365,7.41022760508854,8.25630550179086,6.45385134497769,-6.59608052232176,8.94796266921514
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,413.29893221522,443.314193811316,470.986786810734,627.774241726543,1443.88243476138,1573.88564182956,1732.55424231659,1998.25907627675,1933.1010689481,2277.43434674354
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,13.2308389767977,4.0094359104519,4.29715203929562,3.7672517347751,9.47899691419793,6.665656718679,4.94821634062142,3.93882646691634,6.62343677628532,5.13140747176369
India,IND,"Population, total",SP.POP.TOTL,1019483586,1056575548,1093317187,1129623466,1265780243,1295600768,1324517250,1352642283,1380004385,1393409033
India,IND,Surface area (sq. km),AG.SRF.TOTL.K2,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,..
India,IND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,53431584653.2041,65124164122.0956,78498577658.6009,139310020965.107,571306638044.004,529239679343.382,480169284856.572,640300825053.023,509433826379.252,725551019456.021
India,IND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,46426482685.1663,60878396865.5263,73452725999.4092,126647719432.562,448400543291.471,468346037554.217,439642787829.497,538635201541.984,499095036175.143,660499390376.678
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,95445547872.715,165021012077.81,195660611165.183,256836875295.452,917869910105.749,890814755233.225,931877364177.742,1042271531011.99,1058688935454.78,1186092991320.04
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-13.1267254923818,4.9200677470169,4.49947539085764,5.03087394501685,6.03005065305615,5.006668425755,5.03306918280177,5.17429153955024,-2.06500494092904,3.69124011191289
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,463.948158190899,780.19020467518,900.177588137897,1150.26136651088,3694.35933980214,3491.63749125449,3562.81633352183,3893.85957814877,3870.55761979249,4291.81255449121
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,58.4510444723946,3.68861915958351,11.9001175663779,6.06405988526519,4.27949999641976,6.39492540819922,3.5258051568793,3.19834641562404,1.92096800566845,1.56012990525685
Indonesia,IDN,"Population, total",SP.POP.TOTL,205724597,211513822,217357790,223285666,248451714,255128076,261556386,267670549,273523621,276361788
Indonesia,IDN,Surface area (sq. km),AG.SRF.TOTL.K2,1910930,1910930,1910930,1910930,1910930,1910931,1913580,1916862.2,1916906.77,..
Indonesia,IDN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,41249712041.6119,50264686469.7912,51638437160.6839,70744690513.6428,229362101573.161,217485215697.145,170835000855.915,230045611948.785,166258355015.893,223720346705.59
Indonesia,IDN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,50555726234.5501,67621169165.827,63956798804.501,82744351781.0167,225744402474.106,210820082760.734,177886012771.598,218905647471.407,182850626710.373,255731268263.145
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1270052525928.4,1146676894209.73,1276769338449.3,1806542968545.56,2086957656821.6,2162009615996.54,1877071687633.78,2091932426266.98,1892574064222.11,2099880198258.88
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.81061516197623,3.78695514323979,0.253942998968455,1.42359415817907,-2.98090576823772,-0.00454754236383792,1.29346273155907,0.925810941012742,-9.0256689277568,6.64379018966193
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,22318.1373007109,20137.5912217673,22376.2978989329,31317.2007943296,35051.5212697703,35565.7213771496,30960.7315088902,34622.1696664741,31834.9726184046,35551.2849900071
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.95508557719383,2.53768532095005,2.46532319171164,2.20673661423654,3.04136333226773,0.241047429826773,-0.0940166569157271,1.13748763600395,-0.13770757391657,1.87378325762491
Italy,ITA,"Population, total",SP.POP.TOTL,56906744,56942108,57059007,57685327,59539717,60789140,60627498,60421760,59449527,59066225
Italy,ITA,Surface area (sq. km),AG.SRF.TOTL.K2,301340,302069,302069,302069,302069,302069,302069,302069,302068,..
Italy,ITA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,267089327534.292,284121969413.177,301961782874.981,423101431530.04,569227676736.094,566733784835.488,488784062761.869,605614375522.274,489611385450.429,636716300253.091
Italy,ITA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,305612133377.941,293867282501.648,311627059267.452,433747867067.607,592262781313.008,629335664494.076,550505533785.41,655895167113.49,558924642565.138,687469342794.95
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4098362709531.24,4968359075956.59,4182846045873.61,4893116005656.56,6272362996105.03,4896994405353.29,5003677627544.24,5037835383110.97,5040107754084.11,4937421880461.55
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.27033049463975,2.76464755143648,0.0419624993125609,2.1861156944216,1.37475099920874,0.296205514142628,0.753826745903538,0.584068067242868,-4.50690454226634,1.62079552541303
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,32423.7556133801,39169.3595701504,32820.7936433254,38298.9801712303,49145.2804308193,38475.3952461838,39375.4731620781,39727.1165995928,39918.1675583443,39285.1631062756
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.661974191385979,-0.676578683595068,-0.923494026942322,-0.00857338820302009,-0.0440645104433029,2.75922671353253,-0.127258844489691,0.989094598021806,-0.0249958340276592,-0.233352779398279
Japan,JPN,"Population, total",SP.POP.TOTL,126400000,126843000,127445000,127761000,127629000,127276000,127076000,126811000,126261000,125681593
Japan,JPN,Surface area (sq. km),AG.SRF.TOTL.K2,377800,377800,377890,377910,377960,377962,377970,377974,377974,..
Japan,JPN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,353663297055.199,452064900176.773,401205059495.326,532277504089.913,1007099152148.38,980024678767.845,763174802438.923,922228472388.616,796344955871.704,..
Japan,JPN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,425156200703.868,519863963884.546,454066577343.924,625646760881.018,904146988796.653,852990577902.813,803489014102.661,923234601723.625,784167900504.685,..
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,383330931042.356,576178114168.494,627246081417.004,793175007858.066,1278427634342.59,1484318219633.63,1500111596236.37,1724845615629.26,1637895802792.9,1798533915091.14
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.12944816520964,9.06083332508534,7.72514267547173,5.19739136324382,2.40253099246186,3.2024537945736,2.94688171508626,2.90740377377135,-0.852031428863825,4.02115847345807
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,8281.69998157684,12256.9935679503,13165.0657360554,16496.1200942502,25466.7605170594,29249.5752209742,29288.8704389833,33436.9230646064,31597.5046490718,34757.7200705078
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.51358008079306,2.25916580080153,2.76226210296605,3.59066298882577,2.18707104433313,1.27477446401322,0.97168573991219,1.47583935002643,0.537288023411772,2.49833333333334
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,46286503,47008111,47644736,48082519,50199853,50746659,51217803,51585058,51836239,51744876
"Korea, Rep.",KOR,Surface area (sq. km),AG.SRF.TOTL.K2,99260,99260,99590,99620,100150,100280,100339,100370,100410,..
"Korea, Rep.",KOR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,111015669596.986,185275783405.249,179268717678.185,263820940872.42,656655103709.745,635036176085.567,502104730870.38,642946115402.09,536732912196.558,684201251042.105
"Korea, Rep.",KOR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,151556327777.143,195550063662.729,186748435364.362,291526211015.262,691553300804.601,709970494628.1,602034550194.781,719489868241.708,596945196581.99,750398681490.401
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,526502129378.284,707906744574.644,772106378935.377,782240601984.76,1201089987015.45,1315351183524.54,1078490651625.31,1222408203104.3,1087117783073.31,1293037866360.17
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.16392516795146,4.94245371467422,-0.0398444814685348,3.92059081028791,3.64232267941347,2.84977325490688,2.63053242455089,2.19499472522698,-8.16735801037942,4.79719174934905
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,5481.18195394699,7157.81449985734,7593.1373448964,7484.486398707,10241.727828043,10928.9160089988,8744.51555912786,9686.98492655586,8431.66501744762,9926.42276755436
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,15.9283950119352,9.49156149435404,5.03072733151299,4.68840884843147,4.11150981070293,4.01861608078673,2.82170784747653,4.89935015356549,3.39683415569999,5.68920847683764
Mexico,MEX,"Population, total",SP.POP.TOTL,96056313,98899845,101684764,104514934,117274156,120355137,123333379,126190782,128932753,130262220
Mexico,MEX,Surface area (sq. km),AG.SRF.TOTL.K2,1964380,1964380,1964380,1964380,1964380,1964375,1964375,1964375,1964375,..
Mexico,MEX,Imports of goods and services (current US$),NE.IMP.GNFS.CD,139005454028.021,191318627691.527,186428365368.683,216256995303.916,402385300656.821,434748776076.735,420827462668.974,504876988510.884,408274967606.211,542228827124.563
Mexico,MEX,Exports of goods and services (current US$),NE.EXP.GNFS.CD,129490212237.303,179855862769.153,174129212924.606,202133349193.691,387538503663.769,419247687492.947,399496352302.013,479887532672.012,430531761272.666,522771878465.303
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,438008220395.468,417479337444.707,473861980070.981,658380081545.175,838923319919.531,892167986713.722,784060430240.08,914043438179.607,913865395789.886,1018007056949.6
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.66391716015247,4.1956424978691,0.21727359494956,1.98494571422152,-1.03035399148436,1.42339539510084,2.19171371926123,2.36091509478513,-3.79863599268334,5.03590202448922
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,27885.8083823465,26214.498549887,29343.2449960602,40436.6182310407,50070.1416045904,52900.537415323,46039.1059284098,53044.5324352253,52396.0322099525,58061.0016679359
Netherlands,NLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.95913632274256,2.36052233801956,3.28753104712768,1.26364739183177,2.45554765291609,0.976035079699661,0.316666666666663,1.70349794744475,1.2724603778917,2.67572008805381
Netherlands,NLD,"Population, total",SP.POP.TOTL,15707209,15925513,16148929,16281779,16754962,16865008,17030314,17231624,17441500,17533405
Netherlands,NLD,Surface area (sq. km),AG.SRF.TOTL.K2,41530,41530,41530,41530,41540,41540,41540,41540,41540,..
Netherlands,NLD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,233071539657.854,248352949143.53,252610966338.432,361677037575.291,585275201163.281,619841267938.821,543538132141.636,677669488269.803,616383845802.336,738970232034.872
Netherlands,NLD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,259915574316.818,275675255568.628,285020505779.608,412634739877.221,666972343230.469,718890300914.899,623603755002.725,774043642951.372,711504795559.535,851086916988.358
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,270955486862.442,259710142196.943,345470494417.863,591016690742.798,2208295773643.15,2059241965490.83,1276786979221.81,1657329646183.62,1488321875489.74,1775799919352.98
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.29996162531226,10.000066815788,4.69999190873524,7.19994786994475,4.02408615720979,0.736267221415574,0.193690071729534,2.80724541049418,-2.68329621644421,4.81979165963526
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1834.86181640625,1771.59411621094,2377.52954101563,4102.36474609375,15420.875,14095.6484375,8704.8984375,11287.3603515625,10161.982421875,12172.78515625
Russian Federation,RUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,27.6856798076743,20.7987606558703,15.7887307914462,10.8886157326216,5.0747430079915,7.82341183865503,7.04244762954798,2.87829723647886,3.38165937237896,6.69445891957619
Russian Federation,RUS,"Population, total",SP.POP.TOTL,147670784,146596869,145306497,144067316,143201721,143819667,144342397,144477859,144073139,143446060
Russian Federation,RUS,Surface area (sq. km),AG.SRF.TOTL.K2,17098240,17098240,17098240,17098240,17098250,17098250,17098250,17098250,17098250,..
Russian Federation,RUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,66522411128.2844,62417348027.0174,84408293460.925,130992710864.283,447048943248.659,426062191556.665,263830624896.542,344519779600.786,304075035122.44,378028166719.39
Russian Federation,RUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,84595569294.1783,114429434767.153,121649122807.018,203415480735.856,594193217854.85,558283087794.633,330106672194.393,510345774006.233,379986658326.965,547741272403.648
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,146775498080,189514926213.333,189605920240,258742263040,735974843348.664,756350347320.381,644935682011.475,816578674529.141,703367841222.555,833541236569.315
Saudi Arabia,SAU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.8933625194487,5.62541614258343,-2.8191744042884,7.9584416636786,5.41142278010331,3.65248566592824,1.67066425675586,2.51416579969228,-4.13767037552623,3.2409297684805
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,7419.16114403759,9171.33147630515,8695.39648348233,11185.1370411547,25243.6019978478,24464.2125566118,19878.7681693177,24228.8390391665,20203.6688777651,23585.8856300817
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.371269734983801,-1.12499477854773,0.247186514299252,0.515506766998062,2.86626887489922,2.23629031536967,2.06884036053476,2.45814158007533,3.44545825956691,3.06328988941548
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,19783301,20663840,21805322,23132686,29154906,30916603,32443443,33702757,34813867,35340680
Saudi Arabia,SAU,Surface area (sq. km),AG.SRF.TOTL.K2,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,..
Saudi Arabia,SAU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,38830933333.3333,46926133333.3333,44830400000,62350400000,215206018933.333,255383052343.417,198110220198.136,209589393636.078,182127845459.217,202945018593.049
Saudi Arabia,SAU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,43493066666.6667,82259466666.6667,77641333333.3333,131920533333.333,399419733333.333,354541430160,200860075477.285,314916582179.44,184162133333.333,289815259051.184
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,619214834614.099,598363313494.903,708756677088.629,1069055675273.75,1324744314781.64,1371222712535.68,1232912963206.23,1420994142512.16,1281484640043.58,1425276586282.92
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.39303735124493,5.24599468041613,2.73102223160264,3.12279524151424,-2.95944130173555,1.38390794267029,3.03130132981933,2.28878567617447,-10.8228864939664,5.1294551274826
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,15394.3514628249,14749.6874248766,17106.686576658,24907.0008505856,28322.8092495057,29500.7894328615,26523.3482221547,30364.5799435622,27056.4217512166,30115.7058866792
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.83432999908412,3.43351563418762,3.0656568590222,3.03924881090927,2.44612782366812,-0.151114837527181,-0.202598000426425,1.67498136863794,-0.322753017299705,3.09313511976406
Spain,ESP,"Population, total",SP.POP.TOTL,40223509,40567864,41431558,42921895,46773055,46480882,46484062,46797754,47363419,47326687
Spain,ESP,Surface area (sq. km),AG.SRF.TOTL.K2,505990,505000,505320,505370,505940,505940,505935,505957.289,505969.891,..
Spain,ESP,Imports of goods and services (current US$),NE.IMP.GNFS.CD,164460407617.775,188597988059.608,202315899879.608,311225603516.217,389343643913.672,416619174461.567,368548925935.799,461049364445.49,373524398136.966,476181893499.992
Spain,ESP,Exports of goods and services (current US$),NE.EXP.GNFS.CD,161627129969.93,170912654970.981,188203212026.667,271668265945.947,416701933892.578,459120571553.332,417712027692.608,499658310234.509,392402615425.682,497711315364.333
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,303882354117.809,279841151705.353,310175772488.13,405531321270.607,692109693986.886,734396591036.932,695600652899.283,735539301552.674,752248045730.11,812866928867.47
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.06533137545706,3.97640923409377,-0.00550646252790443,2.82152811537493,1.21719365684089,2.44684515688446,2.04518646926613,2.91690509826611,-2.39282604159746,3.69215262984311
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,42740.1281825149,38952.0342005572,42578.7631355696,54878.4710009787,86547.6708907265,89684.7075795936,83073.2800824812,86388.4049527184,87100.4148213751,93457.4403976155
Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0179384378439626,1.55852919679006,0.64271150654328,0.802908730955216,-0.692552018105236,-0.0132025387515987,-0.434618664285843,0.936335464113605,-0.725874933313391,0.581814168489875
Switzerland,CHE,"Population, total",SP.POP.TOTL,7110001,7184250,7284753,7389625,7996861,8188649,8373338,8514329,8636561,8697723
Switzerland,CHE,Surface area (sq. km),AG.SRF.TOTL.K2,41290,41290,41290,41290,41290,41290,41290.39,41290.39,41290.39,..
Switzerland,CHE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,127079169540.626,128269998815.727,131134050429.873,173855478086.047,392175173595.505,385419084600.675,376003269517.222,395874459461.763,402809127914.717,448390116859.609
